﻿主播ID,主播昵称,抖音号,抖音号（原）,火山号,火山号（原）,粉丝数,上次开播时间,签约类型,运营经纪人,招募经纪人,首播时间,入会时间,西瓜号,备注,分成比-直播音浪收益,视频个播有效天,开播总时长,开播有效时长,涨粉,人气峰值,feed看播时长,作品数,视频播放量,视频点赞量,视频评论量,feed_acu,主播标签
3492479960875767,大话2大郎喝药了,AAA3355620AAA,74278393094,AAA3355620AAA,74278393094,20391,1日前,普通主播,星河计划-进阶,星河计划,2021-12-09,2025-08-30,-,21村,50,1,5小时12分钟12秒,5小时0分钟26秒,485,3040,2862小时44分钟18秒,0,31153,601,96,572,
2517248899818100,大话西游2小猴(有问必答),28213122377,28213122377,28213122377,28213122377,12177,7小时前,普通主播,星河计划-进阶,星河计划,2025-09-23,2025-10-09,-,3村,50,1,15小时29分钟14秒,15小时29分钟14秒,176,642,2217小时30分钟37秒,1,57200,92,30,143,
3140652973964712,大话西游刚子（冲万粉）,cc25216666,24551095874,cc25216666,24551095874,9042,19小时前,普通主播,星河计划-进阶,星河计划,2022-07-05,2024-05-28,-,2村,50,1,12小时0分钟47秒,12小时0分钟47秒,436,1433,1705小时38分钟34秒,4,170901,366,117,142,
104409183488,杨小路,1472237740,1472237740,1003613236,1003613236,141614,18小时前,普通主播,情义计划,,2023-05-11,2023-09-10,-,,50,1,5小时52分钟27秒,5小时52分钟27秒,310,784,1157小时1分钟40秒,0,387111,1276,186,197,
7589915057116300345,大话西游2西门庆ぃ买药,34853244163,34853244163,34853244163,34853244163,5178,20小时前,普通主播,星河计划二十六期,星河计划,2026-01-10,2026-01-10,-,1村,50,1,5小时59分钟45秒,5小时59分钟45秒,147,1060,1072小时44分钟46秒,1,3414,25,6,179,
108189905615021,大话西游2小欢虎,31489078331,31489078331,31489078331,31489078331,5542,2日前,普通主播,情义计划,情义计划,2026-01-16,2026-01-14,-,,50,1,6小时23分钟24秒,6小时23分钟24秒,159,536,716小时25分钟32秒,2,32560,109,79,112,
4341345926784280,抖音无为,95005053857,95005053857,95005053857,95005053857,21611,1日前,普通主播,星河计划-进阶,怀旧服,2023-02-12,2024-08-14,-,*7村-免费版,50,1,4小时36分钟34秒,4小时36分钟34秒,16,426,517小时52分钟28秒,1,29877,41,42,112,
97993580724,小迷失,957648131,957648131,814796269,814796269,9035,3小时前,普通主播,情义计划,怀旧服,2020-12-01,2024-08-11,-,免费版,50,1,3小时13分钟25秒,3小时13分钟25秒,56,388,411小时50分钟38秒,0,728,1,1,128,
94739095511,大话西游2谭校,578065135,578065135,1534709030,1534709030,25937,0小时前,普通主播,星河计划-进阶,星河计划,2024-11-07,2024-11-14,-,8村,50,1,5小时59分钟41秒,5小时59分钟41秒,26,457,367小时18分钟38秒,0,7128,23,5,61,
104969195220,超神、大话西游2,1739896595,1739896595,1283792233,1283792233,15990,1日前,普通主播,星河计划-进阶,星河计划,2024-02-25,2024-04-02,-,6村,50,1,5小时50分钟54秒,5小时50分钟54秒,34,202,281小时36分钟35秒,3,57007,123,26,48,
7542114765503104060,周小瑜,74277262850,74277262850,74277262850,74277262850,326,12小时前,普通主播,星河计划二十四期,星河计划,2026-01-15,2025-11-14,-,25村,50,1,6小时22分钟18秒,6小时22分钟18秒,32,94,242小时12分钟45秒,0,357,1,1,38,
1262681105641111,大话2蛋炒饭,93163727481,93163727481,93163727481,93163727481,10439,1日前,普通主播,情义计划,情义计划,2025-03-02,2024-09-06,-,,50,1,5小时1分钟15秒,5小时1分钟15秒,35,270,239小时46分钟38秒,0,482,0,0,48,
3101071814690781,大话西游2白鸽,bms0888888,82490436117,bms0888888,82490436117,13899,7小时前,普通主播,星河计划-进阶,星河计划,2024-01-08,2024-01-25,-,9村,50,1,2小时51分钟26秒,2小时51分钟26秒,30,208,226小时44分钟56秒,0,10781,21,8,79,
4482085855699175,大话2阿鹏,45067775381,45067775381,45067775381,45067775381,11499,23小时前,普通主播,情义计划,怀旧服,2023-03-06,2023-09-28,-,免费版,50,1,5小时36分钟10秒,5小时36分钟10秒,20,141,215小时47分钟18秒,0,6357,7,7,39,
63687351537,大话西游2古大壮,2070884894,2070884894,1436512735,1436512735,14334,2日前,普通主播,星河计划-进阶,,2024-02-05,2023-12-19,-,8村,50,1,5小时16分钟24秒,5小时16分钟24秒,40,134,192小时31分钟39秒,2,45063,216,47,37,
78023222438,大话西游2@十年,B1976E,834149852,B1976E,1648898915,8773,18小时前,普通主播,星河计划-进阶,星河计划,2023-03-05,2024-05-28,-,27村,50,1,3小时0分钟44秒,3小时0分钟44秒,12,134,192小时19分钟46秒,0,4049,9,12,64,
75071562210,纯小白大话西游二🅥,q3q5q2,182611147,q3q5q2,764951997,34682,20小时前,普通主播,星河计划-进阶,,2019-04-27,2023-11-21,-,6村（星河计划优质）,50,1,4小时44分钟45秒,4小时44分钟45秒,27,234,182小时3分钟7秒,1,17071,80,34,38,
60585796844,大话老秦,146168078,146168078,1922430056,1922430056,6581,20小时前,普通主播,星河计划-进阶,免费版,2020-02-12,2024-07-31,-,28村-免费版,50,1,4小时18分钟18秒,4小时18分钟18秒,39,148,175小时10分钟33秒,1,14146,41,42,41,
4266551749391886,阿凯攻略（大话西游2）,78171063102,78171063102,78171063102,78171063102,20921,5小时前,普通主播,星河计划,星河计划,2022-03-13,2024-03-27,-,20村,50,1,6小时24分钟16秒,6小时24分钟16秒,50,91,162小时10分钟6秒,0,1728,6,3,25,
2506520764359815,低调不了一点,540446345hhhh,3663075646,540446345hhhh,3421247351,11908,21小时前,普通主播,星河计划-进阶,星河计划,2024-08-21,2024-08-13,-,11村,50,1,1小时27分钟28秒,1小时27分钟28秒,67,457,157小时33分钟14秒,2,108972,413,680,108,
69768627916,xy2小元,101346136,101346136,896239492,896239492,13763,2小时前,普通主播,星河计划,星河计划,2020-09-19,2024-05-29,-,1村,50,1,3小时12分钟19秒,3小时12分钟19秒,18,159,146小时55分钟21秒,0,499,2,0,46,
479842679132551,大话西游2小绵羊,y625311303,87453674939,y625311303,87453674939,6644,20小时前,普通主播,情义计划,,2022-10-02,2023-09-30,-,,50,1,7小时23分钟5秒,7小时3分钟28秒,12,154,144小时39分钟33秒,0,531,0,0,21,
7514275406297793595,大话西游2奇点,75237104290,75237104290,75237104290,75237104290,925,20小时前,普通主播,星河计划二十六期,星河计划,2026-01-13,2026-01-12,-,8村,50,1,5小时14分钟16秒,5小时14分钟16秒,32,100,133小时41分钟9秒,1,2564,11,14,26,
3175026683811806,在下王大山,DS01928,3792618421,DS01928,3549481439,10471,1日前,普通主播,情义计划,免费版,2023-05-19,2023-07-03,-,*免费版,50,1,2小时51分钟38秒,2小时51分钟38秒,11,224,131小时1分钟46秒,1,8672,11,5,46,
3490326962507579,大话西游2下次微笑,53263416505,53263416505,53263416505,53263416505,1064,9小时前,普通主播,星河计划二十六期,星河计划,2026-01-13,2026-01-15,-,16村,50,1,5小时33分钟30秒,5小时33分钟30秒,46,79,126小时11分钟2秒,1,3338,33,9,23,
96625600424,巫师608,1063894841,1063894841,1395202950,1395202950,6913,20小时前,普通主播,星河计划-进阶,怀旧服,2024-05-10,2024-06-27,-,*7村-免费版,50,1,5小时22分钟43秒,5小时2分钟29秒,19,81,121小时45分钟22秒,0,10019,41,19,24,
96549606307,大话西游2龙哥,B8888BBB88888,704098611,B8888BBB88888,932749089,18209,19小时前,普通主播,星河计划,星河计划,2022-02-08,2025-09-30,-,20村,50,1,4小时46分钟48秒,4小时23分钟25秒,17,104,114小时46分钟40秒,0,172,0,0,26,
940779377788199,大话西游2老秦,qht638168,41965658181,qht638168,41965658181,6610,2小时前,普通主播,星河计划-进阶,怀旧服,2024-10-27,2025-02-24,-,28村-免费版,50,1,6小时9分钟11秒,6小时9分钟11秒,30,56,113小时26分钟57秒,3,11573,60,19,18,
275312111526985,大话西游2南鲸,N001992,69366967203,N001992,69366967203,16353,20小时前,普通主播,星河计划-进阶,怀旧服,2024-04-12,2024-03-28,-,*7村-免费版,50,1,3小时46分钟44秒,3小时46分钟44秒,5,83,109小时23分钟39秒,0,8532,30,41,29,
2185471585425636,悠然视频,UR178998,2263782069,UR178998,1544809678,95840,19小时前,普通主播,情义计划,,2021-04-16,2023-08-16,-,,50,1,1小时54分钟30秒,1小时54分钟30秒,19,145,106小时44分钟56秒,1,14135,45,23,56,
3861119737022078,大话西游 2 强子,38852488452,38852488452,38852488452,38852488452,51396,6小时前,普通主播,星河计划-进阶,星河计划,2024-05-13,2024-04-16,-,2村,50,1,2小时34分钟29秒,2小时34分钟29秒,52,112,106小时38分钟34秒,1,38474,215,29,41,
108290117836,万能,lwz02200059,2217989370,lwz02200059,1135356001,3665,2小时前,普通主播,星河计划,星河计划,2022-04-11,2024-03-31,-,17村,50,1,6小时20分钟8秒,6小时20分钟8秒,21,53,99小时52分钟13秒,0,405,3,0,16,
101797916071,怀旧三哥,1171361375,1171361375,878124168,878124168,6184,5小时前,普通主播,星河计划-进阶,怀旧服,2023-06-24,2024-07-22,-,7村-免费版,50,1,6小时45分钟19秒,6小时45分钟19秒,1,47,95小时54分钟48秒,0,322,0,0,14,
2466922588802158,大话西游2包子,bzg0401,2373129832,bzg0401,852474179,3231,18小时前,普通主播,星河计划-进阶,怀旧服,2025-06-16,2025-04-18,-,7村-免费版,50,1,4小时11分钟38秒,4小时11分钟38秒,19,96,94小时3分钟50秒,0,7150,19,19,22,
106483542257,大话西游2小龙,1756482520,1756482520,1329099481,1329099481,7999,20小时前,普通主播,星河计划-进阶,星河计划,2021-04-29,2024-03-02,-,8村,50,1,11小时40分钟52秒,11小时40分钟52秒,12,55,90小时2分钟4秒,1,11160,20,14,8,
1797059257056845,大话西游2迪迪,54144982399,54144982399,54144982399,54144982399,18848,1日前,普通主播,星河计划-进阶,怀旧服,2024-01-09,2024-07-19,-,28村-免费版,50,1,2小时9分钟41秒,2小时9分钟41秒,19,160,87小时29分钟48秒,6,39056,34,40,40,
86755086462,大话西游2赵公子,627570015,627570015,1983570892,1983570892,7270,4小时前,普通主播,星河计划-进阶,星河计划,2021-04-05,2023-11-19,-,2村,50,1,8小时7分钟49秒,8小时7分钟49秒,28,209,87小时7分钟33秒,1,29964,69,90,11,
101074117702,惊雷,1108448834,1108448834,1591146277,1591146277,12336,3日前,普通主播,星河计划-进阶,星河计划,2024-04-30,2023-11-19,-,8村,50,1,3小时35分钟54秒,3小时35分钟54秒,34,93,84小时31分钟14秒,1,72234,159,60,23,
747312297812808,大话西游2烟花周,yanhuazhou888,3790870994,yanhuazhou888,3543840326,4085,1日前,普通主播,星河计划-进阶,星河计划,2025-05-06,2025-02-18,-,16村,50,1,4小时30分钟32秒,4小时30分钟32秒,6,105,82小时9分钟9秒,1,1356,3,0,18,
3690412792883964,伟仔娱乐,48504373932,48504373932,48504373932,48504373932,12453,4小时前,普通主播,情义计划,,2023-02-07,2023-07-14,-,,50,1,3小时14分钟30秒,3小时14分钟30秒,5,76,81小时57分钟52秒,1,11081,19,29,25,
1956778191880567,抖音小毛,zyzp4628,3619914457,zyzp4628,3378293155,4303,6小时前,普通主播,星河计划,怀旧服,2021-02-23,2025-06-11,-,7村-免费版,50,1,9小时14分钟39秒,9小时14分钟39秒,26,104,80小时38分钟28秒,2,24929,90,59,9,
3720375547474638,大话西游2释怀者,shihuaizhe45457,3667747376,shihuaizhe45457,3427755744,79891,0小时前,普通主播,情义计划,,2020-08-02,2023-10-10,-,,50,1,3小时24分钟47秒,3小时24分钟47秒,77,106,79小时35分钟47秒,0,438,-1,0,23,
2103798474483868,大话2摘星,24641062677,24641062677,24641062677,24641062677,2279,15小时前,普通主播,星河计划二十六期,免费版,2025-12-27,2026-01-07,-,7村-免费版,50,1,6小时46分钟59秒,6小时46分钟59秒,34,47,70小时8分钟8秒,0,8696,79,34,10,
1418816318080940,大话2问心,40852145724,40852145724,40852145724,40852145724,2937,18小时前,普通主播,星河计划-进阶,星河计划,2025-02-01,2025-03-31,-,6村,50,1,1小时7分钟52秒,1小时7分钟52秒,4,203,66小时56分钟17秒,1,7818,19,11,59,
2672277400084564,大话李太白,53624584810,53624584810,53624584810,53624584810,2089,7小时前,普通主播,星河计划,怀旧服,2025-04-07,2025-05-31,-,35村-免费版,50,1,7小时27分钟14秒,7小时15分钟26秒,26,43,65小时23分钟2秒,1,14939,37,27,9,
2674493289925853,大话西游2紫枫,xy2zifeng,58568686663,xy2zifeng,58568686663,1217,0小时前,普通主播,星河计划,星河计划,2025-06-05,2025-09-02,-,23村,50,1,7小时28分钟29秒,7小时28分钟29秒,7,56,65小时8分钟20秒,0,355,1,-4,9,
7448797258718659642,大话2长庚,dhxy2cg,33279541521,dhxy2cg,33279541521,10770,7小时前,普通主播,星河计划-进阶,星河计划,2025-03-11,2024-12-17,-,31村,50,1,2小时51分钟2秒,2小时51分钟2秒,40,78,65小时4分钟51秒,2,120233,299,279,23,
4284142023346223,凌晨大话2,59841449788,59841449788,59841449788,59841449788,7993,4小时前,普通主播,星河计划,星河计划,2022-10-05,2024-01-28,-,8村,50,1,5小时14分钟17秒,5小时14分钟17秒,14,40,64小时6分钟1秒,1,32204,56,14,12,
101111162561,乌鸦哥哥,dahuawuya,3746047195,,0,1343,1小时前,普通主播,星河计划二十五期,免费版,2024-12-17,2025-12-09,-,免费版直播村,50,1,8小时30分钟36秒,8小时28分钟24秒,12,29,63小时20分钟29秒,0,374,1,2,7,
104978940275,大话西游2几率,46016592438,46016592438,46016592438,46016592438,1681,7小时前,普通主播,星河计划,星河计划,2021-10-05,2024-08-13,-,18村,50,1,3小时2分钟26秒,3小时2分钟24秒,16,92,62小时55分钟42秒,0,576,11,0,21,
